Location,Weather_Station_Latitude,Weather_Station_Longitude,Date_weather_station_placed
ARH1,34.728369,-90.759801,4/14/2017
ARH2,35.674898,-90.076596,
COH1,40.649055,-104.99986,5/1/2017
DEH1,38.67123,-75.433096,4/28/2017
GAH1,31.507325,-83.558322,4/4/2017
GAH2,33.726878,-83.299077,5/3/2017
IAH1,41.20082,-91.49531,
IAH2,42.06427,-94.72114,
IAH3,41.97574,-92.24096,
IAH4,41.99399,-93.68836,
ILH1,,,
ILH2,,,
INH1,,,
MIH1,42.681924,-84.494308,5/22/2017
MNH1,43.07471,-89.384397,5/15/2017
MOH1,38.89244,-92.20665,5/15/2017
NCH1,35.29607,-77.567255,5/3/2017
NEH1,,,
NEH2,,,
NEH3,,,
NEH4,,,
NYH1,42.72856941,-76.65201913,5/20/2017
NYH2,42.7328868,-76.6520083,5/19/2017
NYH3,42.733042,-76.651994,6/1/2017
OHH1,39.855359,-83.665356,4/18/2017
ONH1,43.497179,-80.4276,
ONH2,43.07471,-89.384397,5/22/2017
SCH1,34.62286,-82.737705,
TXH1,30.54535,-96.432581,3/8/2017
TXH2,,,
WIH1,43.057176,-89.531052,5/2/2017
WIH2,43.324231,-89.33564,5/10/2017
